n_datapoints,forecast_point,sd,rho,Median eBMI Error,Mean eBMI Error
10,Most Recent,0.2,0.8,0.4,0.52
8,Most Recent,0.2,0.8,0.43,0.55
6,Most Recent,0.2,0.8,0.46,0.59
4,Most Recent,0.2,0.8,0.51,0.64
10,Most Recent,0.2,0.4,0.52,0.64
4,Most Recent,0.2,0.4,0.54,0.65
8,Most Recent,0.2,0.4,0.54,0.65
6,Most Recent,0.2,0.4,0.55,0.66
10,Mean,0.2,0.4,0.56,0.68
10,Mean + Most Recent,0.2,0.4,0.57,0.76
6,Mean + Most Recent,0.2,0.4,0.62,0.85
8,Mean + Most Recent,0.2,0.4,0.62,0.83
8,Mean,0.2,0.4,0.62,0.74
2,Most Recent,0.2,0.8,0.63,0.9
2,Most Recent,0.2,0.4,0.63,0.82
6,Mean,0.2,0.4,0.68,0.82
4,Mean + Most Recent,0.2,0.4,0.68,0.93
8,Mean + Most Recent,0.2,0.8,0.68,0.99
10,Mean + Most Recent,0.2,0.8,0.69,0.97
6,Mean + Most Recent,0.2,0.8,0.78,1.07
4,Mean + Most Recent,0.2,0.8,0.79,1.1
10,Most Recent,0.4,0.8,0.81,1.02
4,Mean,0.2,0.4,0.81,1
8,Most Recent,0.4,0.8,0.82,1.03
6,Most Recent,0.4,0.8,0.83,1.05
8,Mean,0.2,0.8,0.84,1.11
10,Mean,0.2,0.8,0.87,1.09
4,Max,0.2,0.8,0.89,1.98
8,Max,0.2,0.8,0.9,2.1
4,Most Recent,0.4,0.8,0.91,1.19
6,Max,0.2,0.8,0.93,2.18
10,Max,0.2,0.8,0.94,2.2
2,Mean + Most Recent,0.2,0.4,0.94,1.28
2,Mean + Most Recent,0.2,0.8,0.95,1.28
6,Mean,0.2,0.8,0.96,1.23
8,Mean,0.4,0.4,0.96,1.18
10,Mean,0.4,0.4,0.98,1.18
4,Mean,0.2,0.8,0.99,1.27
8,Mean + Most Recent,0.4,0.8,1.01,1.34
6,Mean + Most Recent,0.4,0.8,1.03,1.37
2,Max,0.2,0.8,1.03,2.17
10,Mean + Most Recent,0.4,0.8,1.03,1.38
4,Max,0.2,0.4,1.05,2.2
6,Mean,0.4,0.4,1.05,1.25
8,Mean + Most Recent,0.4,0.4,1.07,1.32
10,Most Recent,0.4,0.4,1.08,1.33
6,Mean + Most Recent,0.4,0.4,1.08,1.35
6,Most Recent,0.4,0.4,1.08,1.3
4,Most Recent,0.4,0.4,1.08,1.32
8,Most Recent,0.4,0.4,1.09,1.3
10,Mean + Most Recent,0.4,0.4,1.09,1.33
4,Mean + Most Recent,0.4,0.8,1.11,1.54
2,Most Recent,0.4,0.8,1.11,1.56
2,Max,0.2,0.4,1.12,2.25
4,Mean + Most Recent,0.4,0.4,1.12,1.41
6,Max,0.2,0.4,1.13,2.33
4,Mean,0.4,0.4,1.13,1.37
10,Mean,0.4,0.8,1.13,1.44
8,Mean,0.4,0.8,1.14,1.45
2,Mean,0.2,0.8,1.16,1.44
2,Mean,0.2,0.4,1.17,1.5
2,Most Recent,0.4,0.4,1.18,1.48
6,Mean,0.4,0.8,1.19,1.48
10,Max,0.2,0.4,1.22,2.07
6,Most Recent,0.6,0.8,1.22,1.58
8,Max,0.2,0.4,1.23,2.32
10,Most Recent,0.6,0.8,1.25,1.63
4,Mean,0.4,0.8,1.26,1.63
2,Mean + Most Recent,0.4,0.8,1.28,1.95
8,Most Recent,0.6,0.8,1.29,1.65
4,Most Recent,0.6,0.8,1.33,1.75
2,Mean + Most Recent,0.4,0.4,1.35,1.75
10,Mean,0.6,0.4,1.35,1.7
8,Mean,0.6,0.4,1.35,1.7
6,Mean + Most Recent,0.6,0.8,1.39,1.85
6,Mean,0.6,0.4,1.4,1.76
10,Mean + Most Recent,0.6,0.8,1.41,1.91
2,Mean,0.4,0.4,1.44,1.93
4,Max,0.4,0.8,1.45,2.81
2,Most Recent,0.6,0.8,1.47,1.98
2,Mean,0.4,0.8,1.47,2.08
8,Mean + Most Recent,0.6,0.8,1.47,1.88
10,Mean,0.6,0.8,1.48,1.95
2,Max,0.4,0.8,1.49,4.91
6,Mean,0.6,0.8,1.5,1.91
4,Mean + Most Recent,0.6,0.8,1.51,2.04
8,Mean + Most Recent,0.6,0.4,1.54,1.93
6,Max,0.4,0.8,1.54,2.69
8,Mean,0.6,0.8,1.54,1.92
10,Mean + Most Recent,0.6,0.4,1.55,1.95
6,Mean + Most Recent,0.6,0.4,1.56,1.95
2,Mean + Most Recent,0.6,0.8,1.56,2.36
4,Most Recent,0.6,0.4,1.56,2.04
4,Mean,0.6,0.4,1.56,1.96
8,Max,0.4,0.8,1.59,2.65
8,Most Recent,0.6,0.4,1.59,1.98
10,Most Recent,0.6,0.4,1.6,2.03
4,Mean + Most Recent,0.6,0.4,1.6,2.03
2,Max,0.4,0.4,1.61,2.8
4,Mean,0.6,0.8,1.61,2.11
2,Most Recent,0.6,0.4,1.62,2.06
6,Most Recent,0.6,0.4,1.63,2
2,Mean + Most Recent,0.6,0.4,1.69,2.22
10,Max,0.4,0.8,1.74,3.1
2,Mean,0.6,0.8,1.75,2.38
2,Mean,0.6,0.4,1.77,2.27
4,Max,0.4,0.4,1.78,2.72
2,Max,0.6,0.8,1.87,3.21
6,Max,0.4,0.4,2.03,3.24
4,Max,0.6,0.8,2.14,3.82
8,Max,0.4,0.4,2.21,3.07
6,Max,0.6,0.8,2.24,3.63
2,Max,0.6,0.4,2.25,3.76
10,Max,0.4,0.4,2.28,3.18
8,Max,0.6,0.8,2.41,3.62
4,Max,0.6,0.4,2.6,3.68
10,Max,0.6,0.8,2.63,4.02
6,Max,0.6,0.4,3.02,4.53
8,Max,0.6,0.4,3.14,4.37
10,Max,0.6,0.4,3.35,4.47